Date,Open,High,Low,Close,Volume,Market Cap
Dec-30-2020,27375.345815751,28938.018882515,27375.345815751,28810.020485478,73712221377.4698,523104839357.07214
Dec-23-2020,23816.037879536,24011.068616736,22789.244690985,23261.78519646,72103119537.01994,437386596217.99243
Dec-16-2020,19424.010728277,21395.554438724,19306.677136097,21367.096307987,48227478063.0557,372499190037.11926
Dec-09-2020,18328.8917672,18624.633202136,17656.943459076,18569.987699691,51894238233.16762,339169288875.3209
Dec-02-2020,18756.509652358,19330.508182511,18356.075312073,19201.276130857,64736169956.75906,351583352343.0996
Nov-25-2020,19151.452512233,19461.568641658,18547.979034051,18770.202102024,66020446070.152565,353357152750.164
Nov-18-2020,17664.951637795,18475.035135983,17395.811764732,17827.839147466,72012568910.56276,331419792599.43823
Nov-11-2020,15297.95996981,15949.504404586,15282.011824356,15687.480248155,34076621281.51302,288682936493.8948
Nov-04-2020,14017.051388679,14212.511632163,13589.969148761,14132.96094433,36787608742.723,257381109205.72293
Oct-28-2020,13639.746153222,13837.306744368,12960.025985765,13275.481261315,40460863642.23352,249011575352.0386
Oct-21-2020,11908.741437109,13190.093701222,11891.811346113,12808.795951863,38524738667.9235,230398925866.8069
Oct-14-2020,11422.024201063,11544.578698772,11292.511892291,11426.367479344,22671063126.89314,211064738669.40564
Oct-07-2020,10602.399002304,10679.02790455,10567.965459144,10665.252260679,20562068864.540302,196530345918.35196
Sep-30-2020,10840.600465445,10843.68932657,10668.735161548,10766.814094563,22225613190.089066,198798360069.81042
Sep-23-2020,10529.278889306,10530.332328559,10180.505865872,10231.051311501,24341912905.56212,192973686929.94873
Sep-16-2020,10782.041277235,11079.289955111,10675.817591205,10946.921228692,38086295936.335106,201366679797.4612
Sep-09-2020,10116.665555577,10335.324719057,9983.509539052,10214.15437465,37822798641.018166,188204222607.76273
Sep-02-2020,11924.492570654,11945.582651837,11231.67949673,11399.148968018,40828722689.696045,213802951608.03683
Aug-26-2020,11338.908192941,11519.647238246,11275.789326675,11463.567970252,36827771241.809875,210613286486.38416
Aug-19-2020,11969.194370738,12007.453785904,11638.94294719,11732.405565665,40374416080.83586,217876175357.21313
