Date,Open,High,Low,Close,Volume,Market Cap
Dec-30-2020,731.317989248,754.803257909,720.620070971,753.752103938,27809473840.69383,83882375417.262
Dec-23-2020,637.205159991,637.599744715,562.19335703,587.243686104,22016623613.67007,69727710853.99295
Dec-16-2020,589.156207076,636.77174969,581.908844275,636.77174969,14853794060.064754,68666279763.76693
Dec-09-2020,556.855121774,577.422205889,532.874093954,573.995816622,20405094324.356255,63697896538.32011
Dec-02-2020,586.970964167,602.820206624,578.508053652,598.357253473,29296849357.987724,67424332064.17282
Nov-25-2020,604.610942261,605.824683128,557.893556729,572.319809116,25917481064.8077,67239991438.067604
Nov-18-2020,482.427455557,494.879528171,465.994365101,479.756428717,20614086056.65511,54283181255.88982
Nov-11-2020,451.037645117,474.980197765,450.353635795,464.017197465,15303700857.244804,52556764777.56869
Nov-04-2020,387.962597535,407.623557092,378.301501193,401.774060651,11165254705.09666,44091767235.33133
Oct-28-2020,403.671362474,408.477120659,381.476846588,389.01314445,12850058519.35489,44606623506.48188
Oct-21-2020,368.962422274,400.9086161,368.580551888,391.92282695,14535344579.192616,43456508705.089
Oct-14-2020,381.369972429,386.754657849,374.134479167,379.642177259,11511322207.715668,42975263463.28172
Oct-07-2020,340.989220524,342.421614868,334.807049042,341.50761016,11889771755.563202,38366213556.06716
Sep-30-2020,359.837365673,360.814517382,353.083276388,359.380501348,10750901718.026724,40211921987.96927
Sep-23-2020,344.275706035,344.640788714,318.310542462,320.765563108,13914982251.095644,37947415442.51127
Sep-16-2020,365.859502259,373.619358821,358.056606535,366.745934276,20421971346.96865,41206465060.70352
Sep-09-2020,339.308056777,358.511500408,333.687459217,351.904314534,21737601651.668076,39029821339.54914
Sep-02-2020,475.930387765,477.516965726,420.902989998,436.479540574,30274356437.219303,50461826334.43701
Aug-26-2020,383.266694225,391.549932692,378.071816574,385.870423938,18065341230.888485,43256831192.96734
Aug-19-2020,422.759690373,426.246565752,396.072376347,406.046971897,18577230989.38973,46185622619.7216
Aug-12-2020,379.238879159,388.667323322,369.155865507,387.609860231,18936799773.849228,42743500619.499855
Aug-05-2020,389.64975326,404.874346724,385.717179004,400.576612484,17651056126.10829,44173389481.488594
Jul-29-2020,315.838200309,323.521408934,312.334066094,316.367864464,15560635407.901968,35746643054.45192
Jul-22-2020,245.366021012,264.762454414,242.250366937,262.929689668,7388905990.470613,27444243924.86857
Jul-15-2020,240.312292711,241.097627137,237.16986839,238.845592292,4398236329.799531,26735721114.390232
Jul-08-2020,239.175028562,248.039678287,238.010184374,246.493853394,6300945588.984236,27149995555.185917
Jul-01-2020,225.631318012,232.050798204,224.546004794,230.572226533,4919654732.454436,25454416463.45383
Jun-24-2020,243.025659017,248.620987559,232.180011481,234.694322127,6446440943.768268,26745071802.723763
Jun-17-2020,235.258578906,236.625682245,229.70845142,234.045622635,5843949644.620144,25969430964.32116
Jun-10-2020,243.908995177,249.258755956,242.763002176,247.42369167,6048210826.644841,27196719059.67717
Jun-03-2020,238.005728,244.170851121,234.722208674,244.170851121,10085839970.36355,26549234714.344563
May-27-2020,201.093265222,207.520483727,200.973833214,207.449727431,8177164284.053426,22729532646.05019
May-20-2020,213.971895401,214.757647407,208.382815282,209.938714222,10743231231.302834,23546246017.28044
May-13-2020,189.712391587,199.946263727,189.061447979,199.427059646,12166676581.24192,21455829784.105515
May-06-2020,205.280071639,210.312762119,201.102547339,201.102547339,14224517545.597456,22909378778.51637
Apr-29-2020,196.805817986,217.321518535,196.620324981,214.900441797,16360133178.812218,22936538165.923862
Apr-22-2020,170.968359149,183.259847306,170.113064447,182.08903682,12960518895.825827,19575333821.076492
Apr-15-2020,158.284172535,160.853390577,153.019187589,153.382301651,11232326018.028685,17452271662.78964
Apr-08-2020,164.857143913,173.169673164,164.170923963,172.788017549,14116847315.037016,18737803985.919106
Apr-01-2020,132.994241753,135.469230635,129.197354341,134.912692355,7762114817.492286,14534627264.210337
Mar-25-2020,138.529956972,141.298798573,133.901670712,135.969074848,10361114819.707329,15074721381.083395
Mar-18-2020,116.20147987,117.480339295,110.999277954,117.290632819,8427429833.56682,12569080534.62266
Mar-11-2020,200.643536449,202.770295233,182.947947059,194.640330801,12545190706.132994,21325048250.958874
Mar-04-2020,223.90173482,228.321549628,218.416450113,223.857502181,13852813891.307663,24411801481.974396
Feb-26-2020,247.227625726,249.683009867,219.469030196,227.483093147,18288182164.401527,25531807841.74804
Feb-19-2020,282.222773883,283.673574221,259.726718282,260.430120516,19868006599.69484,30223487932.828384
Feb-12-2020,236.368397826,273.468336649,236.368397826,265.897084944,19873999516.34571,27700565378.39896
Feb-05-2020,188.713226696,206.483771959,188.263691458,204.012524677,10214978765.33949,21368770778.02115
Jan-29-2020,175.534499583,178.038546162,174.376318412,174.376318412,9932455084.434473,19178744272.009254
Jan-22-2020,169.330949205,170.919489461,166.30537737,168.08898267,8577764785.13957,18313459158.001026
Jan-15-2020,165.658248436,170.813488205,149.831606484,165.804881749,16747466657.103539,17845135788.769855
Jan-08-2020,143.038850021,147.050004077,137.552328545,140.934290558,9485569495.645624,15503951637.776106
Jan-01-2020,129.768840798,132.627390514,129.369808248,130.916545571,7036988925.172684,14267183034.248133
